Rank,Polish,English,IPA,Hint,Frequency
1,nie,no / not,/ɲɛ/,nyeh,8583207
2,to,this / it,/tɔ/,taw,6394833
3,się,oneself / reflexive,/ɕɛ̃/,shyen,5144785
4,w,in,/f/,f,3988120
5,na,on,/na/,nah,3386060
6,i,and,/i/,ee,3249275
7,że,that,/ʐɛ/,zheh,3140397
8,z,with / from,/z/,z,3104206
9,co,what,/t͡sɔ/,tso,2834994
10,jest,is,/jɛst/,yest,2730378
11,do,to / into,/dɔ/,daw,2318623
12,tak,yes / so,/tak/,tahk,2202077
13,o,about,/ɔ/,o,1780471
14,jak,how / like,/jak/,yak,1709256
15,ale,but,/ˈalɛ/,AH-leh,1523438
16,a,and / but,/a/,ah,1493736
17,mnie,me,/mnʲɛ/,m-nyeh,1408401
18,mi,to me,/mi/,mee,1207300
19,za,for / behind,/za/,zah,1024785
20,ja,I,/ja/,ya,874103
21,tym,this (instr.),/tɨm/,tim,871066
22,tego,this (gen.),/ˈtɛɡɔ/,TEH-go,841575
23,go,him,/ɡɔ/,gaw,826537
24,ci,to you,/t͡ɕi/,chee,825774
25,po,after,/pɔ/,paw,800323
26,tylko,only / just,/ˈtɨlkɔ/,TIL-ko,799409
27,czy,whether / if,/t͡ʂɨ/,chih,798343
28,tu,here,/tu/,too,796370
29,może,maybe,/ˈmɔʐɛ/,MO-zheh,793977
30,jestem,I am,/ˈjɛstɛm/,YES-tem,774997
31,ma,has,/ma/,mah,759836
32,ty,you (informal),/tɨ/,tih,754983
33,cię,you (object),/t͡ɕɛ̃/,chyen,742982
34,mam,I have,/mam/,mahm,722105
35,jesteś,you are,/ˈjɛstɛɕ/,YES-tesh,691420
36,już,already,/juʂ/,yoosh,690940
37,jeśli,if,/ˈjɛɕli/,YESH-lee,670572
38,dla,for,/dla/,dlah,656889
39,wiem,I know,/vjɛm/,vyem,649740
40,coś,something,/t͡sɔɕ/,tsosh,643701
41,dobrze,well / alright,/ˈdɔbʐɛ/,DOB-zheh,591715
42,więc,so,/vjɛnt͡s/,vyents,585727
43,od,from,/ɔt/,ot,580173
44,teraz,now,/ˈtɛras/,TEH-ras,571725
45,pan,"you (formal, male)",/pan/,pahn,539584
46,wszystko,everything,/ˈfʂɨstkɔ/,FSHIST-ko,533697
47,być,to be,/bɨt͡ɕ/,bich,531548
48,będzie,will be,/ˈbɛnd͡ʑɛ/,BEN-jeh,497324
49,masz,you have,/maʂ/,mahsh,495877
50,nic,nothing,/nit͡s/,neets,495746
51,tam,there,/tam/,tahm,489015
52,mogę,I can,/ˈmɔɡɛ̃/,MO-gem (nasal),479016
53,proszę,please,/ˈprɔʂɛ/,PRO-sheh,476755
54,jej,her,/jɛj/,yey,475279
55,są,are,/sɔ̃/,sow (nasal),465705
56,gdzie,where,/ɡd͡ʑɛ/,g-jeh,446600
57,kiedy,when,/ˈkʲɛdɨ/,KYE-dih,446532
58,ten,this,/tɛn/,ten,444007
59,on,he,/ɔn/,on,433846
60,ciebie,you (object),/ˈt͡ɕɛbjɛ/,CHEB-yeh,433542
61,by,would / by,/bɨ/,bih,426249
62,sobie,oneself / yourself,/ˈsɔbjɛ/,SOB-yeh,424604
63,ze,with (variant of “z”),/zɛ/,zeh,424107
64,był,was (masc.),/bɨw/,biw,422613
65,wiesz,you know,/vjɛʂ/,vyesh,420223
66,bardzo,very,/ˈbardzɔ/,BAR-dzo,409540
67,było,was (neut.),/ˈbɨwɔ/,BI-wo,404457
68,przez,through / by,/pʂɛs/,pshehs,393715
69,jego,his,/ˈjɛɡɔ/,YE-go,389323
70,ją,her (object),/jɔ̃/,yon (nasal),385773
71,chcę,I want,/xt͡sɛ̃/,htsen (nasal),385601
72,dlaczego,why,/dlaˈt͡ʂɛɡɔ/,dla-CHE-go,383206
73,pani,"you (formal, female)",/ˈpaɲi/,PA-nyi,381444
74,jeszcze,still / yet,/ˈjɛʂt͡ʂɛ/,YESH-cheh,374688
75,mój,my,/muj/,mooy,370480
76,nas,us,/nas/,nahs,365829
77,żeby,so that / to,/ˈʐɛbɨ/,ZHE-bih,355927
78,no,yeah / well,/nɔ/,naw,355113
79,bo,because,/bɔ/,baw,346184
80,chcesz,you want,/xʂɛʂ/,hshesh,345593
81,ich,their / them,/ix/,eehkh,341869
82,też,also / too,/tɛʂ/,tesh,335955
83,tutaj,here,/ˈtutaj/,TOO-tai,326976
84,naprawdę,really,/napravˈdɛ/,na-prav-DEH,317261
85,nigdy,never,/ˈniɡdɨ/,NIG-dih,313438
86,mamy,we have,/ˈmamɨ/,MAH-mih,313042
87,kto,who,/ktɔ/,ktoh,307407
88,możesz,you can,/ˈmɔʐɛʂ/,MO-zhesh,299424
89,dobra,alright / okay,/ˈdɔbra/,DO-bra,294856
90,przepraszam,sorry,/pʂɛˈpraʂam/,pshe-PRA-sham,292996
91,mu,to him,/mu/,moo,286224
92,gdy,when / if,/ɡdɨ/,gdih,272430
93,muszę,I must / have to,/ˈmuʂɛ̃/,MOO-shem (nasal),272207
94,porządku,in order / okay,/pɔˈʐɔntku/,po-ZHON-tku,268877
95,dziękuję,thank you,/d͡ʑɛŋˈkujɛ/,jen-KOO-yeh,266404
96,nawet,even,/ˈnavɛt/,NA-vet,258786
97,chyba,probably / I guess,/ˈxɨba/,HIB-ah,258558
98,domu,at home,/ˈdɔmu/,DO-moo,256483
99,ona,she,/ˈɔna/,O-na,253795
100,prawda,truth / right,/ˈpravda/,PRAV-da,253389
101,zrobić,to do / to make,/ˈzrobʲit͡ɕ/,ZRO-beech,253069
102,była,was (fem.),/ˈbɨwa/,BI-wa,245906
103,właśnie,exactly / just,/ˈvwaɕɲɛ/,VWA-shnyeh,242267
104,będę,I will be,/ˈbɛndɛ̃/,BEN-dem (nasal),232300
105,zawsze,always,/ˈzavʂɛ/,ZAV-sheh,227957
106,hej,hey,/xɛj/,hey (breathy h),225912
107,nim,him / it,/ɲim/,nyim,225750
108,nam,to us,/nam/,nahm,224591
109,te,these,/tɛ/,teh,223665
110,moja,my (fem.),/ˈmɔja/,MO-ya,222047
111,musisz,you must,/ˈmuʂiʂ/,MOO-shish,220431
112,je,them / it (plural),/jɛ/,yeh,217804
113,dzięki,thanks,/ˈd͡ʑɛŋki/,JEN-kee,217087
114,bez,without,/bɛs/,bes,215682
115,tej,this (fem. gen.),/tɛj/,tey,214760
116,trochę,a bit,/ˈtrɔxɛ/,TRO-heh,214463
117,ktoś,someone,/ktɔɕ/,ktosh,212659
118,panie,sir (voc.) / ladies,/ˈpaɲɛ/,PA-nyeh,208261
119,jesteśmy,we are,/jɛsˈtɛɕmɨ/,yes-TESH-mih,207003
120,moje,my (neut./pl.),/ˈmɔjɛ/,MO-yeh,206240
121,powiedzieć,to say,/pɔvjɛˈd͡ʑɛt͡ɕ/,po-vye-JETCH,205727
122,który,which,/ˈkturɨ/,KTOO-rih,201545
123,czas,time,/t͡ʂas/,chas,200261
124,więcej,more,/ˈvjɛnt͡sɛj/,VYEN-tsey,198115
125,twój,your,/tfunj/,tfooy,197869
126,musimy,we must,/muˈɕimɨ/,moo-SHEE-mih,197154
127,lat,years,/lat/,laht,195079
128,ta,this (fem.),/ta/,tah,192634
129,chce,wants,/xt͡sɛ/,htseh,192600
130,możemy,we can,/mɔˈʐɛmɨ/,mo-ZHE-mih,191665
131,wszyscy,everyone,/ˈfʂɨst͡sɨ/,FSHIS-tsih,190207
132,tobą,with you,/ˈtɔbɔ̃/,TO-bon (nasal),190084
133,albo,or,/ˈalbɔ/,AL-bo,189924
134,prostu,simply / just,/ˈprɔstu/,PRO-stoo,188283
135,chodzi,goes / is about,/ˈxɔd͡ʑi/,HO-jee,187598
136,razem,together,/ˈrazɛm/,RA-zem,186710
137,stało,happened,/ˈstawaɔ/,STA-wo,180653
138,cześć,hi / hello,/t͡ʂɛɕt͡ɕ/,cheshch,178179
139,mną,me (instr.),/mnɔ̃/,mnon (nasal),176201
140,czego,what (gen.),/ˈt͡ʂɛɡɔ/,CHE-go,175736
141,sam,alone / self,/sam/,sahm,171134
142,myślę,I think,/ˈmɨɕlɛ̃/,MISH-lem (nasal),170414
143,pana,"you (formal, gen.)",/ˈpana/,PA-na,170238
144,przed,before,/pʂɛt/,pshet,168472
145,boże,God (voc.),/ˈbɔʐɛ/,BO-zheh,168017
146,raz,once,/ras/,rahs,167947
147,czemu,why,/ˈt͡ʂɛmu/,CHE-moo,167836
148,będziesz,you will be,/ˈbɛnd͡ʐɛʂ/,BEN-zhesh,165402
149,niż,than,/ɲiʂ/,neesh,164897
150,ludzie,people,/ˈlud͡ʑɛ/,LOO-jeh,164250
151,dalej,next / further,/ˈdalɛj/,DAH-ley,162609
152,czym,what / by what,/t͡ʂɨm/,chim,162304
153,was,mustache / you (pl. formal),/vas/,vas,159757
154,dobry,good (masc.),/ˈdɔbrɨ/,DO-brih,158271
155,przy,by / near,/pʂɨ/,pshee,156386
156,ludzi,people (gen.),/ˈlud͡ʑi/,LOO-dzee,156290
157,dzień,day,/d͡ʑɛɲ/,jyen,155719
158,życie,life,/ˈʐɨt͡ɕɛ/,ZHYE-cheh,155718
159,lepiej,better,/ˈlɛpʲɛj/,LEP-yey,152593
160,miał,had (masc.),/mʲaw/,myaw,152042
161,rzeczy,things,/ˈʐɛt͡ʂɨ/,ZHE-chih,151027
162,twoja,your (fem.),/ˈtfɔja/,TFO-ya,150346
163,czasu,time (gen.),/ˈt͡ʂasu/,CHA-su,149477
164,ok,okay,/ok/,ok,148006
165,temu,ago / then,/ˈtɛmu/,TE-moo,147615
166,robisz,you do,/ˈrɔbiʂ/,RO-bish,147246
167,myślisz,you think,/ˈmɨɕliʂ/,MISH-lish,146634
168,kim,who (instr.),/kim/,keem,146518
169,niech,let / may,/ɲɛx/,nyekh,145960
170,które,which (neut./pl.),/ˈktuʐɛ/,KTOO-zheh,144895
171,oczywiście,of course,/ɔt͡sɨˈviɕt͡ɕɛ/,ot-shee-VEE-sh-cheh,143326
172,siebie,oneself / myself,/ˈɕɛbʲɛ/,SHE-byeh,143313
173,niego,him,/ˈɲɛgɔ/,nyeh-go,142933
174,cóż,well / so,/t͡suwʂ/,choosh,141898
175,powiedział,he said,/pɔvjɛˈd͡ʑawʲ/,po-vye-JAW,141467
176,u,at / by,/u/,oo,141209
177,daj,give,/daj/,dye,141158
178,moim,my (instr./masc.),/ˈmɔim/,MO-yeem,140845
179,chodź,come,/xɔd͡ʑ/,hodj,140119
180,musi,must / has to,/ˈmusi/,MOO-see,140063
181,my,we / us,/mɨ/,mih,139667
182,nikt,nobody,/nikt/,neekt,139542
183,twoje,your (neut./pl.),/ˈtfɔjɛ/,TFO-yeh,139460
184,tych,these (gen.),/tɨx/,tikh,138793
185,pod,under / below,/pɔt/,pod,137518
186,dlatego,therefore / that’s why,/daˈtɛɡɔ/,da-TEH-go,136719
187,pewnie,sure / certainly,/ˈpɛvɲɛ/,PEV-nyeh,133794
188,powiedz,say (imperative),/ˈpɔvjɛd͡ʑ/,po-vyech,133182
189,aby,in order to / to,/ˈabɨ/,AH-bih,131894
190,wtedy,then,/ˈftɛdɨ/,FTEH-dih,129790
191,wygląda,looks like,/vɨɡˈlɔnda/,vi-glohn-dah,129394
192,jeden,one,/ˈjɛdɛn/,YEH-den,128427
193,mojego,my (masc. gen.),/mɔˈjɛɡɔ/,mo-YEH-go,127604
194,im,them / for them,/im/,eem,127101
195,mówi,says / speaks,/ˈmuvʲi/,MOO-vee,125721
196,dziś,today,/d͡ʑiɕ/,jish,125499
197,taki,such / like that,/ˈtakʲi/,TAH-kee,124839
198,mieć,to have,/ˈmʲet͡ɕ/,myetch,124567
199,jako,as / like,/ˈjakɔ/,YA-ko,124059
200,dwa,two,/dva/,dvah,123485
201,potem,then / later,/ˈpɔtɛm/,PO-tem,123106
202,wie,knows,/vʲɛ/,vye,121813
203,takie,such / like that (pl.),/ˈtakʲɛ/,TAH-kyeh,121805
204,nią,her (instr.),/ɲɔ̃/,nyaw,121535
205,wszystkie,all (pl.),/ˈfʂɨstkʲɛ/,FSHYS-tkyeh,121446
206,znaczy,means,/ˈznaʧɨ/,ZNAH-chih,121002
207,rozumiem,I see / understand,/rɔˈzumjɛm/,ro-ZOO-myem,119652
208,dzieje,history / happenings,/ˈd͡ʑɛjɛ/,JYE-yeh,119411
209,moją,my (fem.),/ˈmɔjɔ̃/,MO-yaw,119279
210,będziemy,we will be,/bɛnˈd͡ʑɛmɨ/,ben-JEM-ih,118181
211,wiele,many / a lot,/ˈvjɛlɛ/,VYE-leh,117908
212,stąd,hence / from here,/stɔnt/,stont,117056
213,oni,they (masc.),/ˈɔɲi/,OH-nee,116753
214,mojej,my (fem. gen.),/ˈmɔjɛj/,MO-yey,116624
215,miejsce,place,/ˈmjɛst͡sɛ/,MYEH-steh,116573
216,iść,to go,/iɕt͡ɕ/,eeshch,115801
217,kilka,several / a few,/ˈkilka/,KEEL-kah,115635
218,pomóc,help,/ˈpɔmut͡s/,PO-moots,115614
219,dużo,a lot / much,/ˈduʐɔ/,DOO-zho,114952
220,ile,how many / how much,/ˈilɛ/,EE-leh,112873
221,jasne,of course / clear,/ˈjasnɛ/,YAS-neh,112750
222,byłem,I was (masc.),/ˈbɨwɛm/,BIH-wem,112691
223,swoje,own / his own,/ˈsfɔjɛ/,SFO-yeh,111245
224,myśli,thinks,/ˈmɨɕlʲi/,MISH-lee,111224
225,cały,whole / entire,/ˈt͡sawɨ/,TSAH-wih,111220
226,skąd,from where,/skɔnt/,skont,110204
227,wiedzieć,to know,/ˈvʲɛd͡ʑɛt͡ɕ/,VYE-djetch,108818
228,dzieci,children,/ˈd͡ʑɛt͡ɕi/,JYE-chih,108419
229,nich,them / of them,/nix/,neekh,108311
230,która,which (fem.),/ˈktuʐa/,KTOO-zha,106495
231,wam,to you (pl.),/vam/,vahm,105972
232,przykro,sorry / regret,/ˈpʂɨkrɔ/,PSHI-kroh,105926
233,można,can / possible,/ˈmɔʐna/,MOZH-nah,105450
234,jakieś,some / certain,/ˈjakjɛɕ/,YA-kyesh,105124
235,tę,this / that (acc. fem.),/tɛ̃/,teh,104516
236,wszystkich,all / everyone (gen.),/ˈfʂɨstkɨx/,FSHYS-tkikh,104113
237,nad,over / above,/nad/,nad,104024
238,jakiś,some / any,/ˈjakɕ/,YAK-sh,103860
239,sposób,way / method,/ˈspɔsuɕ/,SPO-sosh,103855
240,trzeba,it's necessary / must,/ˈtʂɛba/,CHEH-bah,103284
241,mają,have / they have,/ˈmajɔ̃/,MYAW,103148
242,niej,her / of her,/ɲɛj/,nyei,101430
243,pracy,work / job,/ˈprat͡sɨ/,PRAH-tsih,101224
244,kogoś,someone,/ˈkɔgɔɕ/,KO-gosh,100740
245,tyle,so much / so many,/ˈtɨlɛ/,TI-leh,100637
246,robić,to do / make,/ˈrɔbʲit͡ɕ/,RO-bich,100071
247,bardziej,more / rather,/ˈbard͡ʑɛj/,BAR-jay,100011
248,mówisz,you say / speak,/ˈmuvʲiʂ/,MOO-vish,99924
249,zanim,before / until,/ˈzanʲim/,ZAH-nim,99188
250,zbyt,too / excessively,/zbɨt/,zbyt,97923
251,szybko,quickly,/ˈʂɨb.kɔ/,SHIH-bko,97630
252,dzisiaj,today,/ˈd͡ʑi.ɕaɕ/,JEE-shyash,96974
253,tobie,to you (sing.),/ˈtɔ.bʲɛ/,TO-byeh,96562
254,takiego,such / of that kind (masc.),/taˈkʲɛɡɔ/,ta-KYE-go,95637
255,świetnie,great / excellently,/ˈɕfjɛt.ɲɛ/,SHFYET-nyeh,94599
256,zobaczyć,to see,/zɔˈbat͡ʂɨt͡ɕ/,zo-BAH-chich,93981
257,zaraz,immediately / soon,/ˈza.ras/,ZAH-raz,93903
258,pewno,certainly,/ˈpɛv.nɔ/,PEV-no,93700
259,miałem,I had (masc.),/ˈmʲawɛm/,MYAW-em,93581
260,kocham,I love,/ˈkɔ.xam/,KO-kham,93536
261,mówię,I say / speak,/ˈmuvʲjɛ/,MOO-vyeh,93488
262,nadal,still / yet,/ˈna.dal/,NA-dal,92632
263,jaki,what / which,/ˈja.kʲi/,YA-kee,92417
264,rację,right / correct,/ˈrat͡s.jɛ/,RAH-tsyeh,91651
265,kochanie,honey / darling,/kɔˈxa.ɲɛ/,ko-KHA-nyeh,91307
